,Estimated,Real,Rightness,square_loss
600229,0.0025177471496445757,0.002564820320618638,1.0,2.215883425553321e-09
600373,-0.000445733705799077,-0.0011972505440774259,1.0,5.64777558215886e-07
600551,-0.0013372925518742374,-0.019199593378907538,1.0,0.00031906179083543456
600576,-0.0031355416805829853,-0.0018193241226726956,1.0,1.732428659751327e-06
600633,-0.004019037684332823,0.0037564182654991757,-1.0,6.045771522777782e-05
600637,-0.0009183783823450975,-0.02651084559701475,1.0,0.0006549743781339409
600640,0.0009301800458006251,-0.020018797872829362,-1.0,0.00043885967583524686
600652,-0.003601558242051997,0.06572145705624458,-1.0,0.004805680450047861
600661,0.006079076686770916,-0.025158461005844006,-1.0,0.000975783761097538
600757,-0.002244963885999604,-0.025668895687255285,1.0,0.0005486805810298773
600825,-0.0037669445726248446,-0.02734837375714748,1.0,0.0005560838023846559
600831,-0.0008504935831208695,0.007130421783594881,-1.0,6.369501009067961e-05
600936,-0.006941371003578591,-0.017478867232473782,1.0,0.00011103882677398038
600977,0.0036709322803111363,-0.02698669178400501,-1.0,0.0009398899132689366
600986,-0.0004081578408356716,0.009549035674484091,-1.0,9.914570270152593e-05
600996,-0.00852903978696173,-0.017674093073275908,1.0,8.363199960952574e-05
601019,-0.004287140141151776,-0.01388646982153205,1.0,9.214713031262963e-05
601098,-0.0018559560453841031,-0.021760359566202793,1.0,0.00039618527951957954
601595,-0.0052188153118274995,-0.012966599233201318,1.0,6.002815569229867e-05
601801,-0.002365813214605324,-0.015697530700965256,1.0,0.00017773469113611517
601811,-0.00463205503747413,-0.019649694651693916,1.0,0.0002255294995825834
601858,-0.010479349166677185,-0.005674026164623005,1.0,2.3091129154070996e-05
601900,-0.0031309366110532783,-0.014991673807888285,1.0,0.00014067708685238552
601928,-0.002096485478736726,-0.017610425984419708,1.0,0.00024068235001387114
601929,-0.0014834145787283705,-0.020490737544881434,1.0,0.0003612783263396497
601949,-0.006057948740458637,-0.013469935942511186,1.0,5.493755428339078e-05
601999,-0.0020190522833468316,-0.021734084654959455,1.0,0.00038868250141373367
603000,0.004550643987845398,-0.019423606712181116,-1.0,0.0005747646966277218
603103,0.0011134464490292777,-0.0556576861658034,-1.0,0.003222961498370918
603258,-0.008734244702454355,0.06576101614197769,-1.0,0.00554954388827997
603444,-0.003838939920055848,-0.0005160544927635333,1.0,1.1041567562911628e-05
603533,-0.001636839888576402,-0.014815369615493713,1.0,0.00017367364576324326
603888,0.0017084817531731497,-0.012148671017348761,-1.0,0.00019202068290558307
603999,-0.002837744088295838,-0.01639750659870237,1.0,0.00018386715933862646
